,caption,path_to_pic,artist_handle,date_posted
10,"Mechanical Bull (deluxe version) by Kings of Leon as requested by @underbane 
 - 
Kings of Leon is  an American rock band that formed in Nashville, Tennessee, in 1999. The band is composed of brothers Caleb, Nathan and Jared Followill with their cousin Matthew Followill. 
 - 
@kingsofleon @friends #KingsofLeon #photoshop #record #album #chandlerholdingurfavalbum #chandlerKingsofLeon",generated/QwLHimFBFb.jpg,kingsofleon,2021-07-04 00:17:07.597696
11,"Inside (The Songs) by Bo Burnham as requested by @laurenjerickson 
 - 
Bo Burnham: Inside is a 2021 American special written, directed, filmed, edited by, and starring Bo Burnham. Recorded in the guest house of his home during the COVID-19 pandemic without a crew or audience, it was released on Netflix on May 30, 2021. 
 - 
@boburnham @friends #BoBurnham #photoshop #record #album #chandlerholdingurfavalbum #chandlerBoBurnham",generated/qHpqR7HF1T.jpg,boburnham,2021-07-04 00:17:07.597696
12,"The Alchemist And Oh No Present Welcome To Los… by Various Artists as requested by @yayyy____yayy 
 - 
The music for the 2013 action-adventure video game Grand Theft Auto V, developed by Rockstar North and published by Rockstar Games, was composed by The Alchemist, Oh No and Tangerine Dream in collaboration with Woody Jackson. The game is the first entry in the Grand Theft Auto series to make use of an original score. 
 - 
@variousartistsbrewing @friends #VariousArtists #photoshop #record #album #chandlerholdingurfavalbum #chandlerVariousArtists",generated/ZCeQwg8brH.jpg,variousartistsbrewing,2021-07-04 00:17:07.597696
13,"Walls by Louis Tomlinson as requested by @julianiemeier, @anajulcarvalho, @mirjam_morandell, @totgeliebttt, @_caitlinpeterson_, @jennifer.muir, @camilllesald, @sa_wine_, @hazzalightsup, @evgenia.stf, @taliagabin, @hailey.millett, @fearlesszaynn, @marigarzon09, @raqueelftv, @malloriewindorski, @anaisabelicaram, @_lauram91 
 - 
Walls is the debut studio album by English singer and songwriter Louis Tomlinson, released on 31 January 2020 through Syco music and Arista Records. It has spawned five singles: ""Two of Us"", ""Kill My Mind"", ""We Made It"", ""Don't Let It Break Your Heart"" and ""Walls"". 
 - 
@louist91 @friends #LouisTomlinson #photoshop #record #album #chandlerholdingurfavalbum #chandlerLouisTomlinson",generated/PAXF1BeTb7.jpg,louist91,2021-07-04 00:17:07.597696
14,"Tickets To My Downfall by Machine Gun Kelly as requested by @cocainecola._, @_bowman___, @__jeickell__ 
 - 
Tickets to My Downfall is the fifth studio album by American musician Machine Gun Kelly. A departure from his established rap sound, the album is a more guitar-driven pop punk album. 
 - 
@machinegunkelly @friends #MachineGunKelly #photoshop #record #album #chandlerholdingurfavalbum #chandlerMachineGunKelly",generated/X3EApDf8CJ.jpg,machinegunkelly,2021-07-04 00:17:07.597696
15,"Master of Puppets by Metallica as requested by @jordanslguay 
 - 
Master of Puppets is the third studio album by American heavy metal band Metallica, released on March 3, 1986, by Elektra Records. Recorded in Denmark at Sweet Silence Studios with producer Flemming Rasmussen, it was the band's last album to feature bassist Cliff Burton, who died in a bus accident in Sweden during the album's promotional tour. 
 - 
@metallica @friends #Metallica #photoshop #record #album #chandlerholdingurfavalbum #chandlerMetallica",generated/08uBeLhpmv.jpg,metallica,2021-07-04 00:17:07.597696
16,"Ultraviolence (Deluxe) by Lana Del Rey as requested by @andre.i0rio 
 - 
Ultraviolence is the third  studio album by American singer-songwriter Lana Del Rey, released on June 13, 2014 by UMG Recordings. Despite originally dismissing the possibility of releasing another record after her major-label debut Born to Die (2012), Del Rey began planning its follow-up in 2013. 
 - 
@lanadelrey @friends #LanaDelRey #photoshop #record #album #chandlerholdingurfavalbum #chandlerLanaDelRey",generated/dtQYADuOfu.jpg,lanadelrey,2021-07-04 00:17:07.597696
17,"Midnight Snack by HOMESHAKE as requested by @uke.guy 
 - 
Midnight Snack is the second studio album by Canadian recording project Homeshake. It was released on September 18, 2015 through Captured Tracks-affiliated record label, Sinderlyn.Described as an indie pop and electro-R&B record, Midnight Snack emphasizes the R&B influence evident on previous recordings, adding drum machines and synthesizers along with the live drums and guitars. 
 - 
@pitersugar @friends #HOMESHAKE #photoshop #record #album #chandlerholdingurfavalbum #chandlerHOMESHAKE",generated/c6sBlvbOqt.jpg,pitersugar,2021-07-04 00:17:07.597696
18,"The Colour and the Shape by Foo Fighters as requested by @ozkar_kiko 
 - 
The Colour and the Shape is the second studio album by American rock band Foo Fighters, released on May 20, 1997, through Roswell and Capitol Records. It marked the official debut of the Foo Fighters as a band, as their eponymous 1995 debut album was primarily recorded by frontman Dave Grohl and producer Barrett Jones as a demo. 
 - 
@foofighters @friends #FooFighters #photoshop #record #album #chandlerholdingurfavalbum #chandlerFooFighters",generated/QRKRr44PKY.jpg,foofighters,2021-07-04 00:17:07.597696
19,"Die Lit by Playboi Carti as requested by @_martamas, @esz2.0 
 - 
The discography of American rapper Playboi Carti consists of two studio albums, three mixtapes and eleven singles (including six as a featured artist).
Playboi Carti, known as $ir Cartier at the time, self-released two mixtapes in November 2011 and November 2012: THC: The High Chronicals and Young Misfit. 
 - 
@playboicarti @friends #PlayboiCarti #photoshop #record #album #chandlerholdingurfavalbum #chandlerPlayboiCarti",generated/2ccgz7PXV2.jpg,playboicarti,2021-07-04 00:17:07.597696
20,"Wish by The Cure as requested by @zero_sad_boi 
 - 
 
 - 
@thecure @friends #TheCure #photoshop #record #album #chandlerholdingurfavalbum #chandlerTheCure",generated/h37s1nGQwv.jpg,thecure,2021-07-04 00:17:07.597696
21,"Song Machine, Season One: Strange Timez (Deluxe) by Gorillaz as requested by @ro_agostinello 
 - 
Song Machine, Season One: Strange Timez is the seventh studio album by British virtual band Gorillaz, released on 23 October 2020. The album is released as part of Gorillaz' Song Machine project, a web series consisting of a collection of singles and music videos, dubbed ""episodes"" each featuring different guest artists. 
 - 
@gorillaz @friends #Gorillaz #photoshop #record #album #chandlerholdingurfavalbum #chandlerGorillaz",generated/28ObLoXzbo.jpg,gorillaz,2021-07-04 00:17:07.597696
22,"Lungs by Florence + the Machine as requested by @saminnaei, @dani.zl 
 - 
Florence and the Machine (stylised as Florence + the Machine) are an English indie rock band that formed in London in 2007, consisting of vocalist Florence Welch, keyboardist Isabella Summers, guitarist Rob Ackroyd, harpist Tom Monger, and a collaboration of other musicians. The band's music received praise across the media, especially from the BBC, which played a large part in their rise to prominence by promoting Florence and the Machine as part of BBC Introducing. 
 - 
@florence @friends #Florence+theMachine #photoshop #record #album #chandlerholdingurfavalbum #chandlerFlorence+theMachine",generated/mwUV0NH6JK.jpg,florence,2021-07-04 00:17:07.597696
23,"Rumours by Fleetwood Mac as requested by @mallyteufel 
 - 
Rumours is the eleventh studio album by British-American rock band Fleetwood Mac, released on 4 February 1977 by Warner Bros. Records. 
 - 
@fleetwooddmac @friends #FleetwoodMac #photoshop #record #album #chandlerholdingurfavalbum #chandlerFleetwoodMac",generated/H2vBuVXjBk.jpg,fleetwooddmac,2021-07-04 00:17:07.597696
24,"Yes Lawd! by Nxworries as requested by @lebo.the.kid 
 - 
Yes Lawd! is the debut studio album by American neo soul duo NxWorries, which consists of vocalist Anderson .Paak and producer Knxwledge. 
 - 
@nxwxrries @friends #Nxworries #photoshop #record #album #chandlerholdingurfavalbum #chandlerNxworries",generated/VCbN8D4rH3.jpg,nxwxrries,2021-07-04 00:17:07.597696
25,"Illinois by Sufjan Stevens as requested by @calebbuck006 
 - 
Illinois (styled Sufjan Stevens Invites You To: Come On Feel the ILLINOISE on the cover; sometimes written as Illinoise) is a 2005 concept album by American singer-songwriter Sufjan Stevens. His fifth studio album, it features songs referencing places, events, and persons related to the U.S. state of Illinois. 
 - 
@sufjan @friends #SufjanStevens #photoshop #record #album #chandlerholdingurfavalbum #chandlerSufjanStevens",generated/gI56FlWnlw.jpg,sufjan,2021-07-04 14:02:30.150078
26,"Hotshot by Shaggy as requested by @zikoeltobgy 
 - 
Hot Shot is the fifth studio album released by Jamaican-American singer Shaggy. The album was first released on August 8, 2000, in the United States, before being issued in the United Kingdom on 5 February 2001, with a revised track listing. 
 - 
@direalshaggy @friends #Shaggy #photoshop #record #album #chandlerholdingurfavalbum #chandlerShaggy",generated/mKAYUXwHVJ.jpg,direalshaggy,2021-07-05 09:14:59.816189
27,"Farm by Dinosaur Jr. as requested by @livlindgaard 
 - 
Farm is the ninth studio album by American alternative rock band Dinosaur Jr. It is the band's first release on the record label Jagjaguwar. 
 - 
@dinosaurjr @friends #DinosaurJr. #photoshop #record #album #chandlerholdingurfavalbum #chandlerDinosaurJr.",generated/JeDLo4c46E.jpg,dinosaurjr,2021-07-05 09:14:59.816189
28,"Foo Fighters by Foo Fighters as requested by @tenderandm0ist 
 - 
The discography of Foo Fighters, an American rock band formed in 1994 by Dave Grohl, consists of ten studio albums, ten extended plays (EPs), six video albums, and fifty-six singles (including promotional releases). The current Foo Fighters line-up consists of Grohl (vocals and guitar), Taylor Hawkins (drums), Rami Jaffee (keyboard), Nate Mendel (bass), Chris Shiflett (guitar), and Pat Smear (guitar). 
 - 
@foofighters @friends #FooFighters #photoshop #record #album #chandlerholdingurfavalbum #chandlerFooFighters",generated/bwQ8xqfCUB.jpg,foofighters,2021-07-05 09:14:59.816189
29,"Chilling Adventures of Sabrina: Season 1 (Original… by Various Artists as requested by @maariperin_ 
 - 
Riverdale is an American teen drama television series based on the characters of Archie Comics. The series was adapted for The CW by Archie Comics' chief creative officer Roberto Aguirre-Sacasa, and is produced by Warner Bros. 
 - 
@variousartistsbrewing @friends #VariousArtists #photoshop #record #album #chandlerholdingurfavalbum #chandlerVariousArtists",generated/CCS4HL5FQj.jpg,variousartistsbrewing,2021-07-05 09:14:59.816189
30,"UNLOCKED by Denzel Curry as requested by @just_ablack_dot 
 - 
Unlocked (stylized in all caps) is the fifth studio album by American rapper Denzel Curry in collaboration with American record producer Kenny Beats. It was released on February 7, 2020, by PH Recordings and Loma Vista Recordings. 
 - 
@denzelcurryph @friends #DenzelCurry #photoshop #record #album #chandlerholdingurfavalbum #chandlerDenzelCurry",generated/UCeWO8xT9e.jpg,denzelcurryph,2021-07-05 09:14:59.816189
31,"Joshua by French 79 as requested by @vascovarelas 
 - 
Pegasus is the third studio album by American rapper and singer Trippie Redd, released on October 30, 2020. The album features guest appearances from Myiah Lynnae, Yung LB, PartyNextDoor, Chris Brown, Rich the Kid, Young Thug, Future, Lil Mosey, Quavo, Busta Rhymes, Sean Kingston, Doe Boy, Lil Wayne, HoodyBaby, and Swae Lee. 
 - 
@french79music @friends #French79 #photoshop #record #album #chandlerholdingurfavalbum #chandlerFrench79",generated/J548hUsRhq.jpg,french79music,2021-07-05 09:14:59.816189
32,"Came Here For Love by Sigala as requested by @tom_spence_1039 
 - 
""Came Here for Love"" is a song by English DJ and record producer Sigala and English singer-songwriter Ella Eyre. It was written by Klingande, Bryn Christopher and Scott Wild, with the song's production handled by Sigala, Klingande and White N3rd. 
 - 
@sigala @friends #Sigala #photoshop #record #album #chandlerholdingurfavalbum #chandlerSigala",generated/MZujyMZbPi.jpg,sigala,2021-07-05 09:14:59.816189
33,"Fine Line by Harry Styles as requested by @_livia_jane, @abbiepattinson.xox, @soupremacist 
 - 
Fine Line is the second studio album by English singer and songwriter Harry Styles, released on 13 December 2019 by Columbia and Erskine Records. The album's themes involve breakups, happiness, and ""having sex and feeling sad"", as Styles has said himself. 
 - 
@harrystyles @friends #HarryStyles #photoshop #record #album #chandlerholdingurfavalbum #chandlerHarryStyles",generated/VA5Xe4VIXz.jpg,harrystyles,2021-07-05 09:14:59.816189
34,"Smile by Katy Perry as requested by @arshism, @deibidub, @cailoutsold 
 - 
Smile is the sixth studio album by American singer Katy Perry. It was released on August 28, 2020, by Capitol Records, three years after its predecessor Witness (2017). 
 - 
@katyperry @friends #KatyPerry #photoshop #record #album #chandlerholdingurfavalbum #chandlerKatyPerry",generated/8fgZSrxAld.jpg,katyperry,2021-07-05 09:14:59.816189
35,"From Under the Cork Tree by Fall Out Boy as requested by @liz.meader81, @charlottesimpsonxox, @theperksofbeingbxiley, @alexwebsterrr, @ryliemayerr 
 - 
From Under the Cork Tree is the second studio album by the American rock band Fall Out Boy, released on May 3, 2005, through Island Records as the band's major label debut. The music was composed by lead vocalist and guitarist Patrick Stump, with all lyrics penned by bassist Pete Wentz, continuing the band's songwriting approach they took for some songs on their prior 2003 effort Take This to Your Grave. 
 - 
@falloutboy @friends #FallOutBoy #photoshop #record #album #chandlerholdingurfavalbum #chandlerFallOutBoy",generated/EEEW3V0hyt.jpg,falloutboy,2021-07-05 09:14:59.816189
36,"Nectar by Joji as requested by @_avinabaguha_, @javiebecerra, @maryensss, @stutiipatel, @_alexandralungu_, @pardonmyswag_, @lilymckne 
 - 
Nectar is the second studio album by Japanese-Australian singer-songwriter Joji, released on 25 September 2020 via 88rising. It features the singles ""Sanctuary"", ""Run"", ""Gimme Love"" and ""Daylight"" with Diplo, as well as collaborations with Benee, Lil Yachty, Omar Apollo, Yves Tumor and Rei Brown. 
 - 
@sushitrash @friends #Joji #photoshop #record #album #chandlerholdingurfavalbum #chandlerJoji",generated/lL8H2wVTZf.jpg,sushitrash,2021-07-05 09:14:59.816189
37,"Deep Cuts by The Knife as requested by @neinavarro 
 - 
Deep Cuts is the second studio album by Swedish electronic music duo the Knife. It was released on 17 January 2003 by Rabid Records. 
 - 
@theknife @friends #TheKnife #photoshop #record #album #chandlerholdingurfavalbum #chandlerTheKnife",generated/2s0Ugpa98t.jpg,theknife,2021-07-05 09:14:59.816189
38,"Dr. Feelgood by Mötley Crüe as requested by @hetfieldswhiplash 
 - 
Mötley Crüe is the eponymous sixth studio album by heavy metal band Mötley Crüe, released on March 15, 1994. It is the band's only album released without singer Vince Neil, who was replaced by ex-The Scream singer John Corabi. 
 - 
@motleycrue @friends #MötleyCrüe #photoshop #record #album #chandlerholdingurfavalbum #chandlerMötleyCrüe",generated/xwAjnT595l.jpg,motleycrue,2021-07-05 09:14:59.816189
39,"Wonder by Shawn Mendes as requested by @sydneynicoleking, @cami.s_22, @avreearnold 
 - 
Wonder is the fourth studio album by Canadian singer Shawn Mendes. It was released by Island Records on December 4, 2020. 
 - 
@shawnmendes @friends #ShawnMendes #photoshop #record #album #chandlerholdingurfavalbum #chandlerShawnMendes",Error,shawnmendes,2021-07-05 09:14:59.816189
40,"(What’s The Story) Morning Glory? by Oasis as requested by @hugo.howee 
 - 
 
 - 
@oasis @friends #Oasis #photoshop #record #album #chandlerholdingurfavalbum #chandlerOasis",generated/WDhQSKotN4.jpg,oasis,2021-07-05 09:14:59.816189
41,"Collapsed In Sunbeams by Arlo Parks as requested by @cloud._.berg_ 
 - 
Collapsed in Sunbeams is the debut studio album by British singer-songwriter Arlo Parks, released via Transgressive Records on 29 January 2021. The album received widespread acclaim, with many music critics praising Parks' versatility and vulnerability. 
 - 
@arlo.parks @friends #ArloParks #photoshop #record #album #chandlerholdingurfavalbum #chandlerArloParks",generated/zCpHOEujO3.jpg,arlo.parks,2021-07-05 09:14:59.816189
42,"Tell Me About Tomorrow by jxdn as requested by @jhair_salvador 
 - 
Tell Me About Tomorrow is the debut studio album by American singer and social media personality Jxdn, released through Travis Barker's label, DTA Records, on July 2, 2021.


== Background and recording ==
Jxdn self-released his debut single ""Comatose"" in February 2020, which caught the attention of Travis Barker who would later sign him to his label DTA Records. 
 - 
@jadenhossler @friends #jxdn #photoshop #record #album #chandlerholdingurfavalbum #chandlerjxdn",generated/4yQZZgv0D8.jpg,jadenhossler,2021-07-05 09:14:59.816189
43,"Amala (Deluxe Version) by Doja Cat as requested by @duasboobs_, @kehlanizm, @amalastorm 
 - 
 
 - 
@dojacat @friends #DojaCat #photoshop #record #album #chandlerholdingurfavalbum #chandlerDojaCat",generated/vvMDZioRIm.jpg,dojacat,2021-07-05 09:14:59.816189
44,"You Are Someone Else by Fickle Friends as requested by @sophiemarley_ 
 - 
You Are Someone Else is the debut studio album by British indie pop collective Fickle Friends. It was released on 16 March 2018 through Polydor Records. 
 - 
@ficklefriends @friends #FickleFriends #photoshop #record #album #chandlerholdingurfavalbum #chandlerFickleFriends",generated/iN7oWMXj72.jpg,ficklefriends,2021-07-05 09:14:59.816189
45,"Unsainted by Slipknot as requested by @flickcow 
 - 
""Unsainted"" is a song by American  heavy metal band Slipknot. It was released as the lead single from their sixth studio album We Are Not Your Kind on May 16, 2019, accompanied by its music video. 
 - 
@slipknot @friends #Slipknot #photoshop #record #album #chandlerholdingurfavalbum #chandlerSlipknot",generated/4nvztmFjIL.jpg,slipknot,2021-07-05 09:14:59.816189
46,"ANTIHERO by CONVOLK as requested by @candysavyswag 
 - 
 
 - 
@convolk_ @friends #CONVOLK #photoshop #record #album #chandlerholdingurfavalbum #chandlerCONVOLK",generated/y4JYxTy0H5.jpg,convolk_,2021-07-05 09:14:59.816189
47,"MAP OF THE SOUL : 7 by BTS as requested by @chloexyoung0, @queen.of.the.dayx, @f4ncychuu, @eren.yeagev 
 - 
Map of the Soul: 7 is the fourth Korean-language (seventh overall) studio album by South Korean boy band BTS. The album was released on February 21, 2020, by Big Hit Entertainment. It is the follow-up to their 2019 extended play Map of the Soul: Persona, with five of its songs appearing on the album. 
 - 
@bts.bighitofficial @friends #BTS #photoshop #record #album #chandlerholdingurfavalbum #chandlerBTS",generated/GyCV0WMWMh.jpg,bts.bighitofficial,2021-07-05 09:14:59.816189
48,"BE by BTS as requested by @anychns, @mayachristine_30, @niteszn 
 - 
Be (stylized in all caps) is the fifth Korean-language (ninth overall) studio album by South Korean boy band BTS. It was released on November 20, 2020, through Big Hit Entertainment, nine months after its predecessor, Map of the Soul: 7 (2020). Created in response to the ongoing COVID-19 pandemic, Be was inspired by BTS' perspective of life during the pandemic. 
 - 
@bts.bighitofficial @friends #BTS #photoshop #record #album #chandlerholdingurfavalbum #chandlerBTS",generated/3WSOtxuSXf.jpg,bts.bighitofficial,2021-07-05 09:14:59.816189
49,"Worlds by Porter Robinson as requested by @jessiemans_, @derek_llopis 
 - 
Worlds is the debut studio album by the American electronic music producer Porter Robinson, released on August 12, 2014 by Astralwerks in the United States and by Virgin EMI Records internationally. The album exhibits a shift in Robinson's music style from the heavy, bass-fueled complextro of his previous work to a more alternative form of electronic music. 
 - 
@porterrobinson @friends #PorterRobinson #photoshop #record #album #chandlerholdingurfavalbum #chandlerPorterRobinson",generated/8PwUjWbUd9.jpg,porterrobinson,2021-07-05 09:14:59.816189
50,"Someday We Will Foresee Obstacles by Syd Matters as requested by @hooditlou 
 - 
Syd Matters is a French band fronted by composer Jonathan Morali. The other band members are Jean-Yves Lozac'h, Olivier Marguerit, Remi Alexandre and Clement Carle. 
 - 
@syd.matters @friends #SydMatters #photoshop #record #album #chandlerholdingurfavalbum #chandlerSydMatters",generated/b89mvVQt9V.jpg,syd.matters,2021-07-05 09:14:59.816189
51,"До свидания by IC3PEAK as requested by @michelle.kfrx 
 - 
IC3PEAK are a Russian experimental electronic music duo from Moscow that formed in October 2013. The duo initially recorded songs almost exclusively in English, however, they later began to record almost exclusively in Russian. 
 - 
@ic3peak @friends #IC3PEAK #photoshop #record #album #chandlerholdingurfavalbum #chandlerIC3PEAK",generated/SHHcP2oyCv.jpg,ic3peak,2021-07-05 09:26:27.842636
52,"Dynamite by BTS as requested by @happyxiaojxn 
 - 
""Dynamite"" is a song recorded by South Korean boy band BTS, released on August 21, 2020, through Big Hit Entertainment and Sony Music Entertainment. It is the band's first song fully recorded in English. 
 - 
@bts.bighitofficial @friends #BTS #photoshop #record #album #chandlerholdingurfavalbum #chandlerBTS",generated/f6Lc5KtEVm.jpg,bts.bighitofficial,2021-07-05 09:26:27.842636
53,"Positions by Ariana Grande as requested by @honeymoon.moonlightbae, @lizziedupree, @mayceeleslie 
 - 
Positions is the sixth studio album by American singer Ariana Grande. It was released by Republic Records on October 30, 2020. 
 - 
@arianagrande @friends #ArianaGrande #photoshop #record #album #chandlerholdingurfavalbum #chandlerArianaGrande",generated/KjIstV04iS.jpg,arianagrande,2021-07-05 09:26:27.842636
54,"Donuts by J Dilla as requested by @sloppycorn 
 - 
Donuts is the second studio album by the American hip hop producer J Dilla, released on February 7, 2006, by Stones Throw Records. It was released on the day of his 32nd birthday, three days before his death. 
 - 
@officialjdilla @friends #JDilla #photoshop #record #album #chandlerholdingurfavalbum #chandlerJDilla",generated/DXWWZDMNn5.jpg,officialjdilla,2021-07-05 09:26:27.842636
55,"Karma and Effect by Seether as requested by @nickbraueer 
 - 
Karma and Effect is the third studio album by South African rock band Seether. It was released on 24 May 2005 by Wind-up Records. 
 - 
@seether @friends #Seether #photoshop #record #album #chandlerholdingurfavalbum #chandlerSeether",generated/awdUsGb2yq.jpg,seether,2021-07-05 09:26:27.842636
56,"The Family Jewels by Marina & the Diamonds as requested by @joaopreys, @mmalaikaaa 
 - 
The Family Jewels is the debut studio album by Welsh singer, songwriter Marina Diamandis, released under the stage name Marina and the Diamonds. It was released on 15 February 2010 by 679 Recordings and Atlantic Records. 
 - 
@ @friends #Marina&theDiamonds #photoshop #record #album #chandlerholdingurfavalbum #chandlerMarina&theDiamonds",generated/ZjHPmPhxiV.jpg,,2021-07-05 09:26:27.842636
57,"Tighter by Mindless Self Indulgence as requested by @t7ch4 
 - 
Tight is the debut studio album by the American rock band Mindless Self Indulgence. The album was originally released on April 20, 1999 through Uppity Cracker Recording Group. 
 - 
@mindlessselfindulgence @friends #MindlessSelfIndulgence #photoshop #record #album #chandlerholdingurfavalbum #chandlerMindlessSelfIndulgence",generated/2R8rak1l7W.jpg,mindlessselfindulgence,2021-07-05 09:26:27.842636
58,"Moral Panic by Nothing But Thieves as requested by @emilialwayscrying 
 - 
Moral Panic is the third studio album by English alternative rock band Nothing but Thieves. The album was released on 23 October 2020 through Sony Music UK. The album was produced by Mike Crossey, with band member Dominic Craik also producing five songs. 
 - 
@nothingbutthieves @friends #NothingButThieves #photoshop #record #album #chandlerholdingurfavalbum #chandlerNothingButThieves",generated/8zPq1gd1Lr.jpg,nothingbutthieves,2021-07-05 09:26:27.842636
59,"To Let a Good Thing Die by Bruno Major as requested by @raetardd 
 - 
Bruno Major (born 15 July 1988) is an English singer-songwriter and guitarist. His debut album A Song for Every Moon was released in 2017. 
 - 
@mrbrunomajor @friends #BrunoMajor #photoshop #record #album #chandlerholdingurfavalbum #chandlerBrunoMajor",generated/iWaMGBabXC.jpg,mrbrunomajor,2021-07-05 09:26:27.842636
60,"SOUR by Olivia Rodrigo as requested by @reginagaribay25, @maduzurks, @lfernandarubio 
 - 
Sour is the debut studio album by American singer-songwriter Olivia Rodrigo. It was released on May 21, 2021, via Geffen Records. 
 - 
@oliviarodrigo @friends #OliviaRodrigo #photoshop #record #album #chandlerholdingurfavalbum #chandlerOliviaRodrigo",generated/z3ebdcIV7z.jpg,oliviarodrigo,2021-07-05 09:26:27.842636
61,"WINGS by BTS as requested by @dxzairne, @vanityluvzme 
 - 
Wings is the second Korean studio album (fourth overall) by South Korean boy band BTS. The album was released on October 10, 2016, by Big Hit Entertainment. It is available in four versions and contains fifteen tracks, with ""Blood Sweat & Tears"" serving as its lead single. 
 - 
@bts.bighitofficial @friends #BTS #photoshop #record #album #chandlerholdingurfavalbum #chandlerBTS",generated/R7tcN7207U.jpg,bts.bighitofficial,2021-07-05 09:26:27.842636
